model,language,roi_name,roi_family,mean_z_raw,mean_z_shared,mean_z_specific,mean_z_mismatched,delta_shared_specific,p_perm,q_fdr,n_subjects
nllb_encoder,fr,R_IFGtri,semantic,0.08063327633144858,0.10283970867616953,0.0330487024466486,0.008312279218814176,0.06979100622952092,9.999000099990002e-05,0.00016362000163620003,28
nllb_encoder,fr,R_TemporalPole,semantic,0.0672292912195818,0.07975947314568507,0.039644141640332385,0.01438080988856207,0.04011533150535268,0.00019998000199980003,0.00029997000299970003,28
nllb_encoder,fr,R_pMTG,semantic,0.07143325257537854,0.07938560426377486,0.044500759350318705,0.00344464319665076,0.03488484491345616,9.999000099990002e-05,0.00016362000163620003,28
nllb_encoder,zh,L_Heschl,auditory,0.05982650779535202,0.048386662304568784,0.03908653376792481,0.03069542420570572,0.00930012853664398,0.030896910308969103,0.0427803373508803,35
nllb_encoder,zh,L_aSTG,auditory,0.09452100961649379,0.07711351944409947,0.05927139571998651,0.014482277541629627,0.01784212372411296,0.0034996500349965005,0.0080991900809919,35
nllb_encoder,zh,L_pSTG,auditory,0.13376293160749278,0.11477629032615079,0.09652016559685273,0.008683598042857905,0.018256124729298072,0.0016998300169983002,0.006119388061193881,35
nllb_encoder,zh,R_Heschl,auditory,0.046344148698254525,0.03578121246044615,0.03108676795709614,0.024514585742596545,0.004694444503350014,0.22977702229777022,0.2584991500849915,35
nllb_encoder,zh,R_aSTG,auditory,0.12291483512014441,0.10384493261647068,0.0917434085926205,0.025659976017030187,0.012101524023850157,0.0156984301569843,0.02354764523547645,35
nllb_encoder,zh,R_pSTG,auditory,0.16310080048373515,0.13693163882826542,0.12416172912065959,0.031102163405886778,0.012769909707605828,0.009099090090990901,0.014889420148894201,35
nllb_encoder,zh,L_OccipitalPole,control,0.023059335397956113,0.014707673993378705,0.011357746133461404,-0.005522150889583619,0.003349927859917301,0.29627037296270375,0.3136980419605098,35
nllb_encoder,zh,L_Precentral,control,0.026986134832858655,0.027078458151832872,0.01307356003210962,0.00695135331402817,0.014004898119723249,0.03849615038496151,0.04949505049495051,35
nllb_encoder,zh,R_OccipitalPole,control,0.014824315195563107,0.013663340974895957,0.008454549374074695,-0.0025393567730454757,0.005208791600821261,0.21077892210778923,0.2529347065293471,35
nllb_encoder,zh,R_Precentral,control,0.024731206602243188,0.022093697245209043,0.01928494741147372,0.008066926678456234,0.0028087498337353222,0.35096490350964904,0.35096490350964904,35
nllb_encoder,zh,L_AG,semantic,0.0728560110491943,0.06401495470704122,0.051707471585007644,-0.007923616275476395,0.012307483122033567,0.0053994600539946005,0.010798920107989201,35
nllb_encoder,zh,L_IFGtri,semantic,0.08656090069031838,0.0806025651509347,0.055851672686420314,-0.0042333584284664,0.024750892464514396,9.999000099990002e-05,0.0008999100089991002,35
nllb_encoder,zh,L_TemporalPole,semantic,0.0951228503204349,0.0952676496820552,0.07415965132947376,-0.00777583909464572,0.02110799835258143,0.0035996400359964,0.0080991900809919,35
nllb_encoder,zh,L_pMTG,semantic,0.0753446496045938,0.07535864259107916,0.0580076138821651,-0.006848349815325593,0.017351028708914064,9.999000099990002e-05,0.0008999100089991002,35
nllb_encoder,zh,R_AG,semantic,0.0779221418013096,0.07687445247036692,0.04817531670943753,0.0009706472828686311,0.028699135760929403,0.00019998000199980003,0.0011998800119988001,35
nllb_encoder,zh,R_IFGtri,semantic,0.10070502879323513,0.08946931017608294,0.07271920709610341,0.005696902372085838,0.01675010307997953,0.0024997500249975004,0.007499250074992501,35
nllb_encoder,zh,R_TemporalPole,semantic,0.10009958526910548,0.09524494017111551,0.07825268075558699,0.00064229890286012,0.016992259415528524,0.006299370062993701,0.01133886611338866,35
nllb_encoder,zh,R_pMTG,semantic,0.08076832314512336,0.0758493891139685,0.058999742345129697,0.0021731711363086994,0.01684964676883882,0.0014998500149985001,0.006119388061193881,35
